Date,Close,LogReturn,Return_scaled,P_high_volatility,P_low_volatility,P_medium_volatility,State,Regime
1996-06-03,667.6799926757812,-0.0021544030693156,-0.2130227980130814,0.0001645372310708357,0.9497203823187077,0.05011508045022152,1,Low volatility
1996-06-04,672.5599975585938,0.0072823173234333,0.6178001432074236,0.00017756166265118093,0.9469137362549042,0.05290870208244466,1,Low volatility
1996-06-05,678.4400024414062,0.0087047254051757,0.7430310726940174,0.00024916284241759107,0.9321894980134219,0.0675613391441605,1,Low volatility
1996-06-06,673.030029296875,-0.0080060998981226,-0.7282149164715073,0.0004252153200367342,0.8941007707690128,0.10547401391095042,1,Low volatility
1996-06-07,673.3099975585938,0.0004158953312973,0.0132701075870931,0.00023740706176842796,0.9344402771366771,0.0653223158015545,1,Low volatility
1996-06-10,672.1599731445312,-0.0017094765682834,-0.1738508051140907,0.00015190022122888035,0.9526995840858925,0.04714851569287867,1,Low volatility
1996-06-11,670.969970703125,-0.0017719845473385,-0.1793541008404548,0.0001045777057348784,0.9629617666320702,0.036933655662194954,1,Low volatility
1996-06-12,669.0399780273438,-0.0028805666885469,-0.2769553263521278,8.643007856819738e-05,0.966068218967658,0.033845350953773834,1,Low volatility
1996-06-13,667.9199829101562,-0.0016754359321211,-0.1708538167240235,6.871798724859074e-05,0.9706764273403774,0.029254854672373865,1,Low volatility
1996-06-14,665.8499755859375,-0.0031039970169386,-0.2966264657804924,6.613178068344615e-05,0.9701641593953618,0.02976970882395493,1,Low volatility
1996-06-17,665.1599731445312,-0.0010368104368803,-0.1146282754118045,5.5644543831613895e-05,0.973870109236523,0.026074246219645512,1,Low volatility
1996-06-18,662.0599975585938,-0.0046713902618105,-0.4346221053200769,7.093417449417365e-05,0.9669693662763482,0.0329596995491576,1,Low volatility
1996-06-19,661.9600219726562,-0.0001510182393813,-0.0366418089057309,5.889031070059179e-05,0.973052804769225,0.026888304920074504,1,Low volatility
1996-06-20,662.0999755859375,0.0002114007130504,-0.0047339036715431,4.7685756838093805e-05,0.9764266930066965,0.023525621236465413,1,Low volatility
1996-06-21,666.8400268554688,0.0071336122954397,0.6047079307024464,6.977633844266906e-05,0.9679461087198414,0.03198411494171588,1,Low volatility
1996-06-24,668.8499755859375,0.003009605887482,0.2416242542904186,5.994126658174072e-05,0.9729993093159273,0.026940749417491118,1,Low volatility
1996-06-25,668.47998046875,-0.000553334089246,-0.0720622965087179,4.9140067669210344e-05,0.9758851880508641,0.024065671881466744,1,Low volatility
1996-06-26,664.3900146484375,-0.0061371006509691,-0.5636654345506331,8.392820454983071e-05,0.9612073170608789,0.038708754734571235,1,Low volatility
1996-06-27,668.5499877929688,0.0062418213018808,0.5261933212421641,0.00010158847197902905,0.9609348929246793,0.03896351860334167,1,Low volatility
1996-06-28,670.6300048828125,0.0031064065679871,0.2501467306108138,7.752867894896701e-05,0.9691309205471516,0.030791550773899577,1,Low volatility
1996-07-01,675.8800048828125,0.0077979763471303,0.6631995329216755,0.0001096233311526432,0.9589502486710398,0.04094012799780749,1,Low volatility
1996-07-02,673.6099853515625,-0.003364266039374,-0.319540938788988,9.959440177537954e-05,0.9619750181901102,0.03792538740811429,1,Low volatility
1996-07-03,672.4000244140625,-0.0017978488341547,-0.1816312312364892,7.851159135320301e-05,0.9681484224940579,0.03177306591458896,1,Low volatility
1996-07-05,657.4400024414062,-0.0224999289946934,-2.00427325224811,0.01119057356171053,0.06863884823710954,0.9201705782011799,2,Medium volatility
1996-07-08,652.5399780273438,-0.0074811025212015,-0.6819933642083085,0.008540496396295503,0.07525727205540882,0.9162022315482957,2,Medium volatility
1996-07-09,654.75,0.0033810770604185,0.274329130522089,0.005563565803370672,0.15966059033203311,0.8347758438645962,2,Medium volatility
1996-07-10,656.0599975585938,0.001998761067063,0.1526279683070648,0.0037924130634804896,0.2911299377939957,0.7050776491425238,2,Medium volatility
1996-07-11,645.6699829101562,-0.0159637335750995,-1.4288168567114052,0.010784678861674906,0.03127429142149738,0.9579410297168277,2,Medium volatility
1996-07-12,646.1900024414062,0.0008050710839153,0.0475337214258839,0.006554577448971189,0.09439600221342329,0.8990494203376056,2,Medium volatility
1996-07-15,629.7999877929688,-0.025691292679169,-2.2852456719541854,0.0479749986024183,7.7239891143225e-05,0.9519477615064385,2,Medium volatility
