Date,Close,LogReturn,Return_scaled,P_high_volatility,P_low_volatility,P_medium_volatility,State,Regime,Split,Return_5,Return_20,Volatility_5,Volatility_20,Volatility_change,Drawdown_20,Days_in_medium,Target
2001-05-16,1284.989990234375,0.0280555245797504,2.446704299839857,0.0515307895356616,0.0008556208738915,0.9476135895904468,2,Medium volatility,train,0.023185138579061664,0.037124494388373994,0.19370674380954986,0.17869737254749032,0.015009371262059534,0.0,1,0.0
2001-05-17,1288.489990234375,0.0027200539227152,0.2161316673543281,0.0243431850588101,0.038724612085864,0.9369322028553256,2,Medium volatility,train,0.026191951153261565,0.02737982655757139,0.19077342154543314,0.17454031786938137,0.01623310367605177,0.0,2,0.0
2001-05-18,1291.9599609375,0.0026894323550719,0.213435698857292,0.012142980968235,0.1049332629958974,0.8829237560358675,2,Medium volatility,train,0.03648684184037406,0.038648708312459396,0.16534636965249522,0.17076079370728964,-0.00541442405479442,0.0,3,0.0
2001-05-21,1312.8299560546875,0.0160246640847221,1.3874893940370456,0.0178995026508336,0.0221143422656862,0.95998615508348,2,Medium volatility,train,0.04990586594074716,0.0697668324495592,0.16808820415974585,0.16552624967685833,0.002561954482887513,0.0,4,0.0
2001-05-22,1309.3800048828125,-0.0026313325125482,-0.2550123776858709,0.0098655277392028,0.0679051054095017,0.9222293668512952,2,Medium volatility,train,0.04685834242971136,0.07937152356636959,0.17766930726651958,0.1571536687805567,0.020515638485962884,-0.002627873591674268,5,0.0
2001-05-23,1289.050048828125,-0.015648195622524,-1.4010364246423457,0.0157152544252502,0.0078627751390669,0.9764219704356828,2,Medium volatility,train,0.0031546222274369644,0.0479081583641657,0.16207883532036102,0.16478473353201273,-0.0027058982116517083,-0.018113470915933294,6,0.0
2001-05-24,1293.1700439453125,0.0031910514714148,0.2575989941831418,0.0090171745845872,0.0507923577380988,0.940190467677314,2,Medium volatility,train,0.0036256197761365644,0.0464143559309801,0.1624120625476452,0.16460417769526034,-0.002192115147615137,-0.014975215959008858,7,0.0
2001-05-25,1277.8900146484375,-0.011886310588375,-1.069834454198604,0.0103150803886181,0.0215632605097942,0.9681216591015877,2,Medium volatility,train,-0.010950123167310337,0.019629673411398797,0.1790467080184775,0.16490134576401985,0.014145362254457644,-0.026614217054622524,8,0.0
2001-05-29,1267.9300537109375,-0.007824599921463,-0.7122353877619726,0.0083478006367011,0.0332247274212465,0.9584274719420522,2,Medium volatility,train,-0.034799387173495434,0.014674265093160995,0.10584429046772617,0.16723411151007378,-0.06138982104234761,-0.03420085147865082,9,0.0
2001-05-30,1248.0799560546875,-0.0157793565584585,-1.412584029109896,0.0141169361224451,0.0044190660140549,0.9814639978635,2,Medium volatility,train,-0.04794741121940574,-0.014603433169791704,0.11151880167267357,0.16973514261387013,-0.05821634094119656,-0.04932093429265316,10,0.0
2001-05-31,1255.8199462890625,0.0061823676577965,0.5209589337231326,0.0092079102558273,0.0356554564955482,0.9551366332486244,2,Medium volatility,train,-0.02611684793908524,-0.009202567607199605,0.13534977535308004,0.17136194817078568,-0.036012172817705634,-0.04342528101426879,11,0.0
2001-06-01,1260.6700439453125,0.0038546576226847,0.3160238697186851,0.0061864038482562,0.0945977213449648,0.8992158748067789,2,Medium volatility,train,-0.02545324178781534,0.009636490146112495,0.13747789196513233,0.16345603863210376,-0.02597814666697143,-0.03973089726420154,12,0.0
2001-06-04,1267.1099853515625,0.0050953447410035,0.42525581449137,0.0048217120215911,0.171194586881819,0.8239837010965898,2,Medium volatility,train,-0.008471586458436837,0.00039467661167859585,0.13745921343088668,0.1565676456993961,-0.019108432268509418,-0.034825508431055696,13,0.0
2001-06-05,1283.5699462890625,0.0129065111005646,1.1129625536038112,0.0075843827900764,0.0863502152209375,0.906065401988986,2,Medium volatility,train,0.012259524563590763,0.015751646301665197,0.15301403908996677,0.16242055631579924,-0.009406517225832467,-0.02228773774598891,14,0.0
2001-06-06,1270.030029296875,-0.0106046710619649,-0.956996998324136,0.0084225093295708,0.0465122228600271,0.945065267810402,2,Medium volatility,train,0.01743421006008436,0.006976935333447698,0.1224066274729624,0.16697566279549825,-0.04456903532253585,-0.032601272206215226,15,0.0
2001-06-07,1276.9599609375,0.0054416772487231,0.4557474451351019,0.0061321013548261,0.0999800178140592,0.8938878808311145,2,Medium volatility,train,0.016693519651010964,0.016916432518424496,0.12167271945838953,0.16688157768933862,-0.045208858230949084,-0.02732265130892042,16,0.0
2001-06-08,1264.9599609375,-0.0094417523095708,-0.8546118965034919,0.0068115367322097,0.0693601830858384,0.9238282801819516,2,Medium volatility,train,0.0033971097187554655,0.007761438860338397,0.14574321302811696,0.17062826948031218,-0.024885056452195214,-0.036463210560068515,17,0.0
2001-06-11,1254.3900146484375,-0.0083910599245671,-0.7621073714888986,0.0066966651742188,0.0638505340377989,0.9294528007879822,2,Medium volatility,train,-0.010089294946815135,0.006975837267811896,0.1502380612639094,0.17111295412086422,-0.02087489285695482,-0.044514478921454215,18,0.0
2001-06-12,1255.8499755859375,0.0011632044010099,0.0790643129316175,0.0047242253657751,0.1489882932902989,0.846287481343926,2,Medium volatility,train,-0.021832601646369836,0.0055334016844727964,0.10230083153165535,0.1709459361078756,-0.06864510457622024,-0.04340240730032252,19,0.0
2001-06-13,1241.5999755859375,-0.0114117639387734,-1.0280546592317754,0.0070801845847062,0.0623423292111308,0.9305774862041628,2,Medium volatility,train,-0.022639694523178336,-0.006294553252788202,0.10487720940170754,0.17565743948278173,-0.07078023008107419,-0.05425682141106081,20,0.0
2001-06-14,1219.8699951171875,-0.0176565590956858,-1.5778557409266605,0.0160522180245141,0.0033103216655605,0.9806374603099254,2,Medium volatility,train,-0.045737930867587234,-0.052006636928224395,0.09643038738083112,0.15227287038870807,-0.05584248300787695,-0.07080883591113585,21,0.0
2001-06-15,1214.3599853515625,-0.0045271147100827,-0.4219198705135007,0.0097637790316605,0.0318489965061949,0.9583872244621444,2,Medium volatility,train,-0.04082329326809914,-0.059253805561022305,0.10063283122633306,0.1511424956226574,-0.05050966439632436,-0.07500588347256076,22,0.0
2001-06-18,1208.4300537109375,-0.0048951360920872,-0.4543210220050675,0.0069139128213105,0.065786493947386,0.9272995932313036,2,Medium volatility,train,-0.037327369435619234,-0.06683837400818139,0.1026642858440529,0.14984104844228044,-0.047176762598227534,-0.07952279109892668,23,0.0
2001-06-19,1212.5799560546875,0.0034282439076607,0.2784817701175119,0.0049827662896974,0.14463018713784,0.8503870465724626,2,Medium volatility,train,-0.03506232992896843,-0.0794347941852428,0.11276913866327451,0.1349225223706313,-0.022153383707356783,-0.0739281556669169,24,0.0
2001-06-20,1223.1400146484375,0.0086710499447439,0.740066234920038,0.0052075045325047,0.1648086688938961,0.8299838265735991,2,Medium volatility,train,-0.014979516045451138,-0.0681324117279507,0.1416792467511773,0.14182720383096245,-0.00014795707978515482,-0.05415376703532471,25,0.0
2001-06-21,1237.0400390625,0.0113001260244534,0.9715340150733122,0.0067024901898923,0.1186146699696905,0.8746828398404171,2,Medium volatility,train,0.013977169074688064,-0.0411840900809733,0.1053038050065004,0.14315896179283588,-0.037855156786335484,-0.04340496839191099,26,0.0
2001-06-22,1225.3499755859375,-0.0094949632127354,-0.8592966637989372,0.0071735345891581,0.0797895273582505,0.9130369380525912,2,Medium volatility,train,0.009009320572035365,-0.0538701047651235,0.1255022014412528,0.1440223536137928,-0.018520152172539994,-0.04535784814177457,27,0.0
2001-06-25,1218.5999755859375,-0.0055238587519568,-0.5096747029180058,0.0057368087424745,0.114367626260643,0.8798955649968823,2,Medium volatility,train,0.008380597912165763,-0.04750765292870529,0.12724450781996255,0.1405456372457194,-0.013301129425756841,-0.05061661882234003,28,0.0
